tensor(1.0096, device='cuda:0')
tensor(1.0189, device='cuda:0')
tensor(1.0283, device='cuda:0')
tensor(1.0373, device='cuda:0')
tensor(1.0465, device='cuda:0')
tensor(1.0561, device='cuda:0')
tensor(1.0649, device='cuda:0')
tensor(1.0737, device='cuda:0')
tensor(1.0824, device='cuda:0')
tensor(1.0914, device='cuda:0')
tensor(1.0997, device='cuda:0')
tensor(1.1092, device='cuda:0')
tensor(1.1197, device='cuda:0')
tensor(1.1299, device='cuda:0')
tensor(1.1411, device='cuda:0')
tensor(1.1523, device='cuda:0')
tensor(1.1507, device='cuda:0')
tensor(1.1486, device='cuda:0')
tensor(1.1477, device='cuda:0')
tensor(1.1463, device='cuda:0')
tensor(1.1449, device='cuda:0')
tensor(1.1430, device='cuda:0')
tensor(1.1419, device='cuda:0')
tensor(1.1410, device='cuda:0')
tensor(1.1414, device='cuda:0')
tensor(1.1414, device='cuda:0')
tensor(1.1422, device='cuda:0')
tensor(1.1428, device='cuda:0')
tensor(1.1430, device='cuda:0')
tensor(1.1433, device='cuda:0')
tensor(1.1451, device='cuda:0')
tensor(1.1467, device='cuda:0')
tensor(1.1478, device='cuda:0')
tensor(1.1486, device='cuda:0')
tensor(1.1500, device='cuda:0')
tensor(1.1523, device='cuda:0')
tensor(1.1544, device='cuda:0')
tensor(1.1566, device='cuda:0')
tensor(1.1588, device='cuda:0')
tensor(1.1611, device='cuda:0')
tensor(1.1630, device='cuda:0')
tensor(1.1648, device='cuda:0')
tensor(1.1659, device='cuda:0')
tensor(1.1666, device='cuda:0')
tensor(1.1673, device='cuda:0')
tensor(1.1685, device='cuda:0')
tensor(1.1700, device='cuda:0')
tensor(1.1714, device='cuda:0')
tensor(1.1734, device='cuda:0')
tensor(1.1798, device='cuda:0')
tensor(1.1864, device='cuda:0')
tensor(1.1934, device='cuda:0')
tensor(1.2003, device='cuda:0')
tensor(1.2080, device='cuda:0')
tensor(1.2150, device='cuda:0')
tensor(1.2227, device='cuda:0')
tensor(1.2299, device='cuda:0')
tensor(1.2371, device='cuda:0')
tensor(1.2439, device='cuda:0')
tensor(1.2514, device='cuda:0')
tensor(1.2587, device='cuda:0')
tensor(1.2660, device='cuda:0')
tensor(1.2732, device='cuda:0')
tensor(1.2798, device='cuda:0')
tensor(1.2869, device='cuda:0')
tensor(1.2957, device='cuda:0')
tensor(1.3058, device='cuda:0')
tensor(1.3149, device='cuda:0')
tensor(1.3248, device='cuda:0')
tensor(1.3333, device='cuda:0')
tensor(1.3422, device='cuda:0')
tensor(1.3515, device='cuda:0')
tensor(1.3612, device='cuda:0')
tensor(1.3682, device='cuda:0')
tensor(1.3749, device='cuda:0')
tensor(1.3815, device='cuda:0')
tensor(1.3903, device='cuda:0')
tensor(1.3996, device='cuda:0')
tensor(1.4180, device='cuda:0')
tensor(1.4340, device='cuda:0')
tensor(1.4508, device='cuda:0')
tensor(1.4679, device='cuda:0')
tensor(1.4851, device='cuda:0')
tensor(1.5025, device='cuda:0')
tensor(1.5186, device='cuda:0')
tensor(1.5352, device='cuda:0')
tensor(1.5521, device='cuda:0')
tensor(1.5691, device='cuda:0')
tensor(1.5858, device='cuda:0')
tensor(1.6027, device='cuda:0')
tensor(1.6206, device='cuda:0')
tensor(1.6388, device='cuda:0')
tensor(1.6579, device='cuda:0')
tensor(1.6772, device='cuda:0')
tensor(1.6961, device='cuda:0')
tensor(1.7152, device='cuda:0')
tensor(1.7343, device='cuda:0')
tensor(1.7525, device='cuda:0')
tensor(1.7641, device='cuda:0')
tensor(1.7757, device='cuda:0')
tensor(1.7860, device='cuda:0')
tensor(1.7981, device='cuda:0')
tensor(1.8085, device='cuda:0')
tensor(1.8197, device='cuda:0')
tensor(1.8301, device='cuda:0')
tensor(1.8421, device='cuda:0')
tensor(1.8540, device='cuda:0')
tensor(1.8667, device='cuda:0')
tensor(1.8785, device='cuda:0')
tensor(1.8914, device='cuda:0')
tensor(1.9045, device='cuda:0')
tensor(1.9179, device='cuda:0')
tensor(1.9313, device='cuda:0')
tensor(1.9442, device='cuda:0')
tensor(1.9545, device='cuda:0')
tensor(1.9650, device='cuda:0')
tensor(1.9756, device='cuda:0')
tensor(1.9861, device='cuda:0')
tensor(1.9981, device='cuda:0')
tensor(2.0101, device='cuda:0')
tensor(2.0211, device='cuda:0')
tensor(2.0333, device='cuda:0')
tensor(2.0430, device='cuda:0')
tensor(2.0387, device='cuda:0')
tensor(2.0318, device='cuda:0')
tensor(2.0253, device='cuda:0')
tensor(2.0195, device='cuda:0')
tensor(2.0135, device='cuda:0')
tensor(2.0083, device='cuda:0')
tensor(2.0023, device='cuda:0')
tensor(1.9972, device='cuda:0')
tensor(1.9911, device='cuda:0')
tensor(1.9856, device='cuda:0')
tensor(1.9794, device='cuda:0')
tensor(1.9724, device='cuda:0')
tensor(1.9659, device='cuda:0')
tensor(1.9602, device='cuda:0')
tensor(1.9541, device='cuda:0')
tensor(1.9489, device='cuda:0')
tensor(1.9436, device='cuda:0')
tensor(1.9384, device='cuda:0')
tensor(1.9339, device='cuda:0')
tensor(1.9329, device='cuda:0')
tensor(1.9316, device='cuda:0')
tensor(1.9301, device='cuda:0')
tensor(1.9282, device='cuda:0')
tensor(1.9273, device='cuda:0')
tensor(1.9255, device='cuda:0')
tensor(1.9243, device='cuda:0')
tensor(1.9236, device='cuda:0')
tensor(1.9228, device='cuda:0')
tensor(1.9225, device='cuda:0')
tensor(1.9217, device='cuda:0')
tensor(1.9216, device='cuda:0')
tensor(1.9209, device='cuda:0')
tensor(1.9199, device='cuda:0')
tensor(1.9181, device='cuda:0')
tensor(1.9156, device='cuda:0')
tensor(2.0921, device='cuda:0')
tensor(2.2825, device='cuda:0')
tensor(2.4904, device='cuda:0')
tensor(2.7174, device='cuda:0')
tensor(2.9700, device='cuda:0')
tensor(3.2462, device='cuda:0')
tensor(3.5478, device='cuda:0')
tensor(3.8788, device='cuda:0')
tensor(4.2405, device='cuda:0')
tensor(4.6351, device='cuda:0')
tensor(5.0688, device='cuda:0')
tensor(5.5402, device='cuda:0')
tensor(6.0475, device='cuda:0')
tensor(6.6021, device='cuda:0')
tensor(6.5967, device='cuda:0')
tensor(6.5807, device='cuda:0')
tensor(6.5642, device='cuda:0')
tensor(6.5440, device='cuda:0')
tensor(6.5234, device='cuda:0')
tensor(6.5030, device='cuda:0')
tensor(6.4949, device='cuda:0')
tensor(6.4877, device='cuda:0')
tensor(6.4787, device='cuda:0')
tensor(6.4886, device='cuda:0')
tensor(6.5039, device='cuda:0')
tensor(6.5614, device='cuda:0')
tensor(6.6134, device='cuda:0')
tensor(6.6660, device='cuda:0')
tensor(6.7048, device='cuda:0')
tensor(6.7732, device='cuda:0')
tensor(6.8405, device='cuda:0')
tensor(6.9092, device='cuda:0')
tensor(6.9734, device='cuda:0')
tensor(7.0287, device='cuda:0')
tensor(7.0534, device='cuda:0')
tensor(7.0768, device='cuda:0')
tensor(7.0739, device='cuda:0')
tensor(7.0604, device='cuda:0')
tensor(7.0469, device='cuda:0')
tensor(7.0298, device='cuda:0')
tensor(7.0170, device='cuda:0')
tensor(7.0096, device='cuda:0')
tensor(7.0025, device='cuda:0')
tensor(6.9964, device='cuda:0')
tensor(7.0081, device='cuda:0')
tensor(7.0169, device='cuda:0')
tensor(7.0306, device='cuda:0')
tensor(7.0493, device='cuda:0')
tensor(7.0567, device='cuda:0')
tensor(7.0564, device='cuda:0')
tensor(7.0617, device='cuda:0')
tensor(7.0676, device='cuda:0')
tensor(7.0784, device='cuda:0')
tensor(7.0860, device='cuda:0')
tensor(7.0928, device='cuda:0')
tensor(7.0982, device='cuda:0')
tensor(7.1157, device='cuda:0')
tensor(7.1260, device='cuda:0')
tensor(7.1264, device='cuda:0')
tensor(7.1206, device='cuda:0')
tensor(7.3875, device='cuda:0')
tensor(7.6643, device='cuda:0')
tensor(7.9543, device='cuda:0')
tensor(8.2501, device='cuda:0')
tensor(8.5598, device='cuda:0')
tensor(8.8853, device='cuda:0')
tensor(9.2331, device='cuda:0')
tensor(9.2180, device='cuda:0')
tensor(9.1983, device='cuda:0')
tensor(9.1791, device='cuda:0')
tensor(9.1585, device='cuda:0')
tensor(9.1445, device='cuda:0')
tensor(9.1418, device='cuda:0')
tensor(9.1232, device='cuda:0')
tensor(9.1118, device='cuda:0')
tensor(9.1109, device='cuda:0')
tensor(9.3465, device='cuda:0')
tensor(9.5924, device='cuda:0')
tensor(9.8479, device='cuda:0')
tensor(10.1217, device='cuda:0')
tensor(10.3896, device='cuda:0')
tensor(10.3648, device='cuda:0')
tensor(10.3358, device='cuda:0')
tensor(10.3294, device='cuda:0')
tensor(10.6030, device='cuda:0')
tensor(10.8840, device='cuda:0')
tensor(11.2019, device='cuda:0')
tensor(11.5309, device='cuda:0')
tensor(11.8456, device='cuda:0')
tensor(11.8209, device='cuda:0')
tensor(11.7969, device='cuda:0')
tensor(11.7703, device='cuda:0')
tensor(11.7489, device='cuda:0')
tensor(11.7614, device='cuda:0')
tensor(11.7760, device='cuda:0')
tensor(11.7768, device='cuda:0')
tensor(11.7866, device='cuda:0')
tensor(11.7806, device='cuda:0')
tensor(11.7812, device='cuda:0')
tensor(11.7801, device='cuda:0')
tensor(11.7899, device='cuda:0')
tensor(11.8033, device='cuda:0')
tensor(11.8226, device='cuda:0')
tensor(11.8221, device='cuda:0')
